,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
1923,6.24139,0.0864926172414,16,7.9568,1
1924,0.05396,0.018883375,17,1.7282,1
1925,6.93234,0.0348585666667,23,7.93652,1
1926,5.5483,0.231305252174,25,8.04765,1
1927,5.54749,0.16138423913,53,8.04329,1
1928,3.02154,0.0238067,7,4.26575,0
1929,-1.30952,0.0331903148936,10,-0.86546,0
1930,2.97424,0.031913740458,36,6.52201,0
1931,7.19536,0.0143238857143,13,8.00744,0
1932,2.10371,0.168645318033,21,4.40695,1
1933,6.18151,0.0877185310345,42,7.8281,1
1934,1.99896,0.09333675,36,2.43222,1
1935,7.05048,0.0176626119048,7,7.8316,1
1936,-2.01603,0.172184825806,36,-2.89678,0
1937,2.49574,0.100180487805,36,2.40188,0
1938,-0.37713,0.0303145106383,17,0.2252,0
1939,0.81007,0.0170127366412,36,2.33454,1
1940,2.45005,0.0169991607362,9,5.84915,1
1941,7.111,0.0228998666667,55,7.90506,0
1942,7.35306,0.0040736,34,8.19883,1
1943,6.7165,0.0183836833333,2,7.64597,0
1944,-1.33856,0.0266726170213,19,-0.75168,0
1945,0.84666,0.553633257143,36,-1.74017,1
1946,7.88373,0.00468603571429,45,9.07626,1
1947,0.23781,0.367616433333,36,4.27021,1
1948,0.7776,0.0383586923077,36,1.15002,1
1949,-0.02055,0.0708225375,25,0.30311,1
1950,7.64242,0.00602055,33,8.76346,0
1951,-1.86503,0.0496873631068,11,3.48981,1
1952,6.7428,0.0495084861111,15,7.68138,0
1953,-2.05981,0.00835577777778,24,-1.22121,0
1954,1.02281,0.256415217391,36,2.66665,1
1955,0.14295,0.0380575659574,23,0.75896,1
1956,7.18391,0.0201646285714,8,7.99355,0
1957,7.3897,0.00656033469388,46,8.27952,0
1958,6.59992,0.0345246611111,28,7.48904,0
1959,-0.73332,0.0242678808511,55,-0.16778,0
1960,-0.68767,0.0230224852071,36,0.40013,1
1961,2.0129,0.085404,36,2.47928,1
1962,5.46557,0.0258579432,36,5.57375,1
1963,2.95112,0.0533402545455,36,5.36679,1
1964,2.12907,0.038894096875,55,2.65523,0
1965,-0.46459,0.0351517021277,21,-0.101,1
1966,2.16023,0.20451067377,37,4.49107,0
1967,0.90222,0.511383259091,36,-1.77449,1
1968,-0.45133,0.0282330957447,42,-0.000900000000001,0
1969,7.5762,0.00576614642857,38,8.67762,0
1970,7.67083,0.00602726785714,34,8.80029,1
1971,-0.41836,0.0129894797688,43,2.63926,1
1972,7.72992,0.00758975357143,56,8.87687,1
1973,6.16754,0.107661931034,35,7.79806,0
1974,0.03621,0.00937663518519,27,0.84116,0
1975,6.89528,0.0371120388889,17,7.88663,1
1976,7.50076,0.00453120535714,14,8.57983,0
1977,-1.3744,0.0113003333333,13,-0.55741,0
1978,-0.79237,0.0110754666667,29,0.14238,1
1979,0.30151,0.313777557895,36,4.28397,1
1980,-1.94813,0.138485640625,36,-2.94207,0
1981,-2.28687,0.0173557426829,36,3.6274,0
1982,6.1679,0.0768003310345,10,7.79885,1
1983,6.5625,0.036235375,44,7.43866,0
1984,1.79951,0.108406060606,36,2.52829,1
1985,-0.25731,0.0349531489362,49,0.25561,1
1986,2.03124,0.0753185769231,36,2.52206,0
1987,6.24907,0.0857854793103,48,7.9733,1
1988,7.3638,0.00778150714286,3,8.4023,1
1989,0.70926,0.0124852941176,10,3.97281,0
1990,-0.29349,0.00659997592593,3,0.47855,1
1991,2.39548,0.0321904184615,37,2.87016,1
1992,3.39552,0.124610319565,36,3.85588,1
1993,7.34254,0.00667591836735,27,8.22155,0
1994,-0.17859,0.0301995531915,15,0.27239,0
1995,7.8252,0.00481385357143,29,9.00039,1
1996,-0.06563,0.0265258191489,11,0.38032,1
1997,4.75424,0.0278359357143,36,5.7234,1
1998,7.8854,0.00464666666667,45,9.33157,1
1999,7.15612,0.0164788714286,41,7.95981,0
